text,label
"Hello how are you today",English
"The weather is nice",English
"Good morning everyone",English
"Thank you very much",English
"Have a great day",English
"How can I help you",English
"This is wonderful",English
"See you later",English
"What time is it",English
"I am learning English",English
"Bonjour comment allez vous",French
"Je suis très heureux",French
"Merci beaucoup monsieur",French
"Au revoir et bonne journée",French
"Comment ça va aujourd'hui",French
"Quelle heure est-il",French
"J'apprends le français",French
"C'est magnifique",French
"À bientôt mon ami",French
"Excusez-moi s'il vous plaît",French
"Hola como estas hoy",Spanish
"Muchas gracias señor",Spanish
"Que hora es ahora",Spanish
"Hasta luego amigo",Spanish
"Buenos días a todos",Spanish
"Que tengas buen día",Spanish
"Como puedo ayudarte",Spanish
"Esto es maravilloso",Spanish
"Nos vemos más tarde",Spanish
"Estoy aprendiendo español",Spanish
"Le sport est amusant",French
"El café es importante",Spanish
"The art is amazing",English
"The sushi is pleasant",English
"La danza es emocionante",Spanish
"La science est fascinant",French
"The movies is inspiring",English
"La musique est génial",French
"La pizza es inspirador",Spanish
"The travel is wonderful",English
"Le jardinage est amusant",French
"El baile es divertido",Spanish
"La naturaleza es relajante",Spanish
"Le café est passionnant",French
"The gardening is fantastic",English
"El arte es hermoso",Spanish
"Le chocolat est relaxant",French
"The technology is relaxing",English
"La jardinería es emocionante",Spanish
"Le sport est important",French
"The running is amazing",English
"La música es increíble",Spanish
"Le films est fascinant",French
"The painting is wonderful",English
"El viaje es emocionante",Spanish
"La peinture est fantastique",French
"The science is fascinating",English
"La carrera es genial",Spanish
"Le sushi est relaxant",French
"The music is interesting",English
"La peinture est inspirant",French
"El canto es educativo",Spanish
"The pizza is useful",English
"Le chocolat est important",French
"La natación es increíble",Spanish
"Le codage est utile",French
"The nature is relaxing",English
"El deporte es emocionante",Spanish
"La technologie est fantastique",French
"The books is inspiring",English
"El té es maravilloso",Spanish
"Le voyage est intéressant",French
"The chocolate is pleasant",English
"El libro es fascinante",Spanish
"La course est relaxant",French
"The sushi is great",English
"La musique est utile",French
"El arte es fascinante",Spanish
"The science is amazing",English
"Le voyage est amusant",French
"El deporte es importante",Spanish
"The sports is wonderful",English
"La pizza est merveilleux",French
"El chocolate es delicioso",Spanish
"The technology is fantastic",English
"Le codage est fascinant",French
"La naturaleza es hermosa",Spanish
"The books is useful",English
"La danse est agréable",French
"El arte es inspirador",Spanish
"The travel is inspiring",English
"La science est important",French
"El café es maravilloso",Spanish
"The coding is great",English
"Le sport est génial",French
"El té es relajante",Spanish
"The painting is relaxing",English
"La musique est fascinant",French
"El libro es educativo",Spanish
"The nature is inspiring",English
"Le chocolat est passionnant",French
"El sushi es delicioso",Spanish
"The movies is educational",English
"La technologie est intéressant",French
"El deporte es útil",Spanish
"The gardening is interesting",English
"La danse est fantastique",French
"El viaje es inspirador",Spanish
"The art is inspiring",English
"Le café est agréable",French
"El canto es increíble",Spanish
"The science is interesting",English
"La natation est amusant",French
"El baile es fascinante",Spanish
"The pizza is amazing",English
"La musique est amusant",French
"El libro es relajante",Spanish
"The sports is useful",English
"Le jardinage est relaxant",French
"El chocolate es fascinante",Spanish
"The painting is fantastic",English
"La course est inspirant",French
"El arte es genial",Spanish
"The technology is fascinating",English
"Le voyage est fantastique",French
"El café es agradable",Spanish
"The books is amazing",English
"La danse est inspirant",French
"El deporte es genial",Spanish
"The music is wonderful",English
"Le films est intéressant",French
"El canto es importante",Spanish
"The science is useful",English
"La natation est intéressant",French
"El sushi es emocionante",Spanish
"The travel is relaxing",English
"Le codage est amusant",French
"El libro es importante",Spanish
"The gardening is relaxing",English
"La nature est passionnant",French
"El chocolate es importante",Spanish
"The art is fantastic",English
"Le café est formidable",French
"El deporte es fascinante",Spanish
"The sports is inspiring",English
"La peinture est relaxant",French
"El viaje es importante",Spanish
"The coding is useful",English
"La musique est merveilleux",French
"El té es fantástico",Spanish
"The pizza is fascinating",English
"Le jardinage est fascinant",French
