text,sentiment
"I love this movie!",1
"This is the best day ever!",1
"I am so happy and excited.",1
"What a wonderful experience.",1
"The food was delicious and the service was great.",1
"This product is amazing!",1
"I had such a fantastic time.",1
"Everything is perfect today.",1
"This makes me feel joyful.",1
"I really enjoy spending time here.",1
"Great job on this project!",1
"This is absolutely brilliant.",1
"I feel so grateful and blessed.",1
"What an incredible achievement.",1
"This brings me so much happiness.",1
"I hate waiting in long lines.",0
"This is the worst product I have ever bought.",0
"I am very disappointed.",0
"The experience was terrible.",0
"This movie is boring and awful.",0
"I'm feeling really frustrated today.",0
"This service is completely unacceptable.",0
"What a horrible day this has been.",0
"I regret making this decision.",0
"This is such a waste of time.",0
"Everything went wrong today.",0
"I'm so angry about this situation.",0
"This is completely disappointing.",0
"I feel sad and discouraged.",0
"This has been a terrible experience.",0
"I love this movie!",1
"I hate waiting in long lines.",0
"This is the best day ever!",1
"This is the worst product I have ever bought.",0
"I am so happy and excited.",1
"I am very disappointed.",0
"What a wonderful experience.",1
"The experience was terrible.",0
"The food was delicious and the service was great.",1
"This movie is boring and awful.",0
"This product is amazing!",1
"I'm feeling really frustrated today.",0
"I had such a fantastic time.",1
"This service is completely unacceptable.",0
"Everything is perfect today.",1
"What a horrible day this has been.",0
"This makes me feel joyful.",1
"I regret making this decision.",0
"I really enjoy spending time here.",1
"This is such a waste of time.",0
"Great job on this project!",1
"Everything went wrong today.",0
"This is absolutely brilliant.",1
"I'm so angry about this situation.",0
"I feel so grateful and blessed.",1
"This is completely disappointing.",0
"What an incredible achievement.",1
"I feel sad and discouraged.",0
"This brings me so much happiness.",1
"This has been a terrible experience.",0
"I am impressed by the new update.",1
"I am furious about the confusing instructions.",0
"I really appreciate the helpful advice.",1
"I hate the missing files.",0
"I feel blessed by this comfy chair.",1
"I can't stand the unhelpful staff.",0
"I love this cozy blanket.",1
"I am disappointed with the bug infestation.",0
"I am thrilled with the engaging lesson.",1
"I am furious about the crashed program.",0
"I adore this workout.",1
"I am upset about the tight deadline.",0
"I could not be happier with the delicious dessert.",1
"I am sick of this headache.",0
"I am over the moon about the helpful advice.",1
"I am annoyed by the constant errors.",0
"I am blown away by the clear skies.",1
"I regret the pointless detour.",0
"I feel blessed by the successful meeting.",1
"I hate the loud noise.",0
"I am delighted by the sunny weather.",1
"I am upset about the power outage.",0
"I adore the playful puppy.",1
"I despise the rude reply.",0
"I am over the moon about our progress.",1
"I can't stand the traffic jam.",0
"I love your kindness.",1
"I am frustrated with the slow internet.",0
"I really appreciate the quick service.",1
"I am disappointed with the failed update.",0
"I feel blessed by the vibrant colors.",1
"I am annoyed by the dim lighting.",0
"I am over the moon about the fresh coffee.",1
"I am furious about the broken app.",0
"I am thrilled with our vacation.",1
"I hate the confusing layout.",0
"I adore the surprising gift.",1
"I regret the missed opportunity.",0
"I love the helpful community.",1
"I am sick of the loud construction.",0
"I am impressed by the sparkling clean room.",1
"I can't stand the long commute.",0
"I really appreciate the friendly staff.",1
"I am upset about the lost package.",0
